case,problem,cores,single_makespan,makespan,pick_makespan,speedup,added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,subgraphs,predicted,params,eval_file,solve_seconds,eval_seconds
case_022,3,3,56780,19263,19263,2.9476,97032,0,0.09933563491833242,61,19191.166666666664,p2_plan,results_all/eval/case_022_p3_n3.json,2.4,1.0
case_022,3,4,56780,14785,14785,3.8404,13824,0,0.060801182245210326,32,14678.166666666666,"('C', 1.0, 64, 0.0)",results_all/eval/case_022_p3_n4.json,2.9,0.9
case_022,3,5,56780,12122,12122,4.684,20736,0,0.08851098704092608,32,11980.166666666666,"('C', 1.0, 64, 0.0)",results_all/eval/case_022_p3_n5.json,3.0,0.6
case_023,1,1,122614,122614,122614,1.0,0,0,,1,122655.93333333332,"('A', 0.25, 16, 2.0)",results/single/case_023_single.json,1.7,0.0
case_023,1,2,122614,62621,62621,1.958,322988,0,,7,58076.8,"('A', 0.1, 64, 1.0)",results_all/eval/case_023_p1_n2.json,1.8,0.8
case_023,1,3,122614,40966,40966,2.9931,207264,0,,3,41745.0,"('A', 1.0, 16, 0.0)",results_all/eval/case_023_p1_n3.json,1.8,1.0
case_023,1,4,122614,37461,37461,3.2731,1451724,0,,23,31427.633333333357,"('A', 0.1, 64, 1.0)",results_all/eval/case_023_p1_n4.json,1.8,0.8
case_023,1,5,122614,26317,26317,4.6591,419028,0,,12,25920.2,"('A', 0.25, 16, 1.0)",results_all/eval/case_023_p1_n5.json,1.7,0.8
case_023,2,1,122614,122658,122658,1.0,0,0,,31,122655.93333333332,"('B', 0.1, 16, 8.0)",results_all/eval/case_023_p2_n1.json,1.6,0.7
case_023,2,2,122614,58599,58599,2.0924,185128,0,,61,58294.666666666664,"('B', 0.1, 64, 8.0)",results_all/eval/case_023_p2_n2.json,1.4,0.7
case_023,2,3,122614,39539,39539,3.1011,349284,0,,87,38967.566666666666,"('B', 0.1, 64, 2.0)",results_all/eval/case_023_p2_n3.json,1.8,0.7
case_023,2,4,122614,27429,27429,4.4702,364360,0,,154,24992.366666666665,"('B', 0.1, 64, 8.0)",results_all/eval/case_023_p2_n4.json,1.6,0.8
case_023,2,5,122614,22664,22664,5.4101,371664,0,,159,20015.566666666666,"('B', 0.1, 64, 8.0)",results_all/eval/case_023_p2_n5.json,2.1,0.7
case_023,3,1,122614,122658,122658,1.0,0,0,0.0,31,122655.93333333332,"('C', 0.1, 64, 4.0)",results_all/eval/case_023_p3_n1.json,2.3,0.8
case_023,3,2,122614,58599,58599,2.0924,185128,0,0.17637534308056135,61,58294.666666666664,p2_plan,results_all/eval/case_023_p3_n2.json,1.7,0.7
case_023,3,3,122614,39539,39549,3.1011,349284,0,0.2964431408623587,87,38967.566666666666,p2_plan,results_all/eval/case_023_p3_n3.json,1.8,1.7
case_023,3,4,122614,27252,27252,4.4993,364360,0,0.1844009293063392,154,24992.366666666665,p2_plan,results_all/eval/case_023_p3_n4.json,1.9,0.7
case_023,3,5,122614,22308,22308,5.4964,371664,0,0.1397646909951598,159,20015.566666666666,p2_plan,results_all/eval/case_023_p3_n5.json,1.9,0.6
case_024,1,1,2555343,2555343,2555343,1.0,0,0,,1,2555341.1666666665,"('A', 0.25, 16, 2.0)",results/single/case_024_single.json,7.3,0.0
case_024,1,2,2555343,2378477,2378477,1.0744,26346662,0,,78,2346187.466666676,"('A', 0.25, 1024, 2.0, 16)",results_all/eval/case_024_p1_n2.json,37.4,3.6
case_024,1,3,2555343,2241643,2241643,1.1399,39715896,0,,136,2160999.833333349,"('A', 0.25, 256, 2.0, 16)",results_all/eval/case_024_p1_n3.json,42.3,4.4
case_024,1,4,2555343,2241643,2241643,1.1399,39715896,0,,136,2160999.833333349,prev_n3,results_all/eval/case_024_p1_n4.json,45.1,4.5
case_024,1,5,2555343,2230760,2230760,1.1455,62457944,0,,306,2117265.8666667067,"('A', 0.25, 256, 2.0, 16, 'blc')",results_all/eval/case_024_p1_n5.json,47.3,6.2
case_024,2,1,2555343,2555343,2555343,1.0,0,0,,51,2555341.1666666665,"('B', 0.1, 16, 8.0)",results_all/eval/case_024_p2_n1.json,7.2,4.1
case_024,2,2,2555343,1505009,1505009,1.6979,26348496,26345672,,1308,1514003.7562801766,"('B', 0.1, 4096, 8.0)",results_all/eval/case_024_p2_n2.json,30.8,4.8
case_024,2,3,2555343,954032,954032,2.6785,4432,400,,1610,955822.0554705767,"('B', 0.1, 4096, 8.0)",results_all/eval/case_024_p2_n3.json,32.1,4.6
case_024,2,4,2555343,743056,743056,3.439,4836,0,,1711,744666.2666666637,"('B', 0.1, 1024, 8.0)",results_all/eval/case_024_p2_n4.json,34.1,4.1
case_024,2,5,2555343,703521,703521,3.6322,5236,0,,1611,705043.2999999989,"('B', 0.1, 1024, 8.0)",results_all/eval/case_024_p2_n5.json,37.3,4.1
case_024,3,1,2555343,2555343,2555343,1.0,0,0,0.0,51,2555341.1666666665,"('C', 0.1, 64, 4.0)",results_all/eval/case_024_p3_n1.json,7.1,4.5
case_024,3,2,2555343,1505009,1505009,1.6979,26348496,26345672,1.4741039732703674e-05,1308,1514003.7562801766,"('C', 0.1, 4096, 4.0)",results_all/eval/case_024_p3_n2.json,34.7,4.7
case_024,3,3,2555343,954032,959593,2.6785,4432,400,0.0015165608444210781,1610,955822.0554705767,p2_plan,results_all/eval/case_024_p3_n3.json,39.1,9.7
case_024,3,4,2555343,743056,746698,3.439,4836,0,0.0010110354519581228,1711,744666.2666666637,p2_plan,results_all/eval/case_024_p3_n4.json,43.4,9.3
case_024,3,5,2555343,703521,703521,3.6322,5236,0,0.0015157869207799229,1611,705043.2999999989,"('C', 0.1, 1024, 4.0)",results_all/eval/case_024_p3_n5.json,47.1,4.5
case_025,1,1,4863026,4863026,4863026,1.0,0,0,,1,4863024.8,"('A', 0.25, 16, 2.0)",results/single/case_025_single.json,31.4,0.0
case_025,1,2,4863026,2431840,2431840,1.9997,27648,0,,2,2432119.2,"('A', 0.25, 16, 2.0)",results_all/eval/case_025_p1_n2.json,28.2,280.5
case_025,1,3,4863026,1622164,1622164,2.9979,55296,0,,3,1622263.2000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_025_p1_n3.json,26.5,223.2
case_025,1,4,4863026,1217444,1217444,3.9945,82944,0,,4,1217335.2000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_025_p1_n4.json,33.7,128.9
case_025,1,5,4863026,975282,975282,4.9863,110592,0,,5,974429.6,"('A', 1.0, 16, 0.0)",results_all/eval/case_025_p1_n5.json,37.1,111.6
case_025,2,1,4863026,4863026,4863026,1.0,0,0,,41,4863024.8,"('B', 0.1, 16, 8.0)",results_all/eval/case_025_p2_n1.json,26.7,33.9
case_025,2,2,4863026,2431840,2431840,1.9997,27648,0,,82,2432119.2,"('B', 0.1, 16, 1.0)",results_all/eval/case_025_p2_n2.json,27.9,24.4
case_025,2,3,4863026,1622164,1622164,2.9979,55296,0,,123,1622263.2000000002,"('B', 0.1, 16, 1.0)",results_all/eval/case_025_p2_n3.json,26.2,21.1
case_025,2,4,4863026,1217444,1217444,3.9945,82944,0,,168,1217335.2000000002,"('B', 0.1, 16, 1.0)",results_all/eval/case_025_p2_n4.json,29.7,17.8
case_025,2,5,4863026,975282,975282,4.9863,110592,0,,206,974429.6,"('B', 1.0, 64, 0.0)",results_all/eval/case_025_p2_n5.json,27.5,14.7
case_025,3,1,4863026,4863026,4863026,1.0,0,0,0.0,41,4863024.8,"('C', 0.1, 64, 4.0)",results_all/eval/case_025_p3_n1.json,30.9,34.1
case_025,3,2,4863026,2431840,2431840,1.9997,27648,0,0.0,82,2432119.2,"('C', 0.1, 64, 4.0)",results_all/eval/case_025_p3_n2.json,28.1,24.8
case_025,3,3,4863026,1622164,1622164,2.9979,55296,0,0.0,123,1622263.2000000002,"('C', 0.1, 64, 4.0)",results_all/eval/case_025_p3_n3.json,31.1,22.8
case_025,3,4,4863026,1217444,1217444,3.9945,82944,0,0.0,168,1217335.2000000002,"('C', 0.1, 64, 4.0)",results_all/eval/case_025_p3_n4.json,30.2,16.5
case_025,3,5,4863026,975282,975282,4.9863,110592,0,0.0,206,974256.7999999999,"('C', 0.1, 64, 4.0)",results_all/eval/case_025_p3_n5.json,24.5,14.7
case_026,1,1,99203,99203,99203,1.0,0,0,,1,92916.2,"('A', 0.1, 64, 1.0)",results/single/case_026_single.json,1.0,0.0
case_026,1,2,99203,56143,56143,1.767,491520,0,,4,47319.933333333334,"('A', 0.25, 16, 2.0)",results_all/eval/case_026_p1_n2.json,1.0,0.5
case_026,1,3,99203,41297,41297,2.4022,328852,0,,6,38619.86666666667,"('A', 1.0, 64, 8.0)",results_all/eval/case_026_p1_n3.json,1.2,0.5
case_026,1,4,99203,41297,42611,2.4022,328852,0,,6,38619.86666666667,prev_n3,results_all/eval/case_026_p1_n4.json,1.2,1.1
case_026,1,5,99203,41297,44620,2.4022,328852,0,,6,38619.86666666667,prev_n4,results_all/eval/case_026_p1_n5.json,1.3,0.8
case_026,2,1,99203,95387,95387,1.0,32768,32768,,38,92982.22088654795,"('B', 0.1, 64, 8.0)",results_all/eval/case_026_p2_n1.json,0.7,0.3
case_026,2,2,99203,49717,49717,1.9954,484096,81920,,97,47559.64970952382,"('B', 0.1, 64, 8.0)",results_all/eval/case_026_p2_n2.json,0.7,0.5
case_026,2,3,99203,40400,40400,2.4555,659452,0,,120,34150.43333333333,"('B', 0.1, 64, 8.0)",results_all/eval/case_026_p2_n3.json,1.0,0.5
case_026,2,4,99203,32642,32642,3.0391,826912,16384,,145,29668.96544384741,"('B', 0.1, 16, 8.0)",results_all/eval/case_026_p2_n4.json,1.1,0.4
case_026,2,5,99203,30761,30761,3.225,842692,8192,,144,27417.68665796689,"('B', 0.1, 16, 8.0)",results_all/eval/case_026_p2_n5.json,1.1,0.4
case_026,3,1,99203,95387,95387,1.0,32768,32768,0.0,38,92982.22088654795,"('C', 0.1, 64, 4.0)",results_all/eval/case_026_p3_n1.json,0.9,0.5
case_026,3,2,99203,48040,48040,2.065,500732,49152,0.08922524981519103,97,47444.412968902936,"('C', 0.1, 64, 4.0)",results_all/eval/case_026_p3_n2.json,1.0,0.4
case_026,3,3,99203,36679,36679,2.7046,859716,0,0.19988726837173254,120,33041.166666666664,"('C', 0.1, 64, 2.0)",results_all/eval/case_026_p3_n3.json,0.8,0.5
case_026,3,4,99203,32482,33723,3.0541,826912,16384,0.03649262436273669,145,29668.96544384741,p2_plan,results_all/eval/case_026_p3_n4.json,0.8,0.7
case_026,3,5,99203,29182,29182,3.3995,954224,8192,0.16150796596266245,145,26267.69761452979,"('C', 0.1, 64, 4.0)",results_all/eval/case_026_p3_n5.json,0.8,0.3
case_027,1,1,2363952,2363952,2363952,1.0,1400832,1400832,,1,2230623.9400988915,"('A', 0.25, 16, 2.0)",results/single/case_027_single.json,2.1,0.0
case_027,1,2,2363952,1120962,1120962,2.1089,1744896,638976,,2,1123741.2715018238,"('A', 0.25, 16, 2.0)",results_all/eval/case_027_p1_n2.json,2.5,1.4
case_027,1,3,2363952,855759,855759,2.7624,17602560,0,,14,782176.26666667,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_027_p1_n3.json,3.1,2.0
case_027,1,4,2363952,559196,559196,4.2274,3317760,0,,4,581103.4666666668,"('A', 0.25, 16, 2.0)",results_all/eval/case_027_p1_n4.json,2.8,1.4
case_027,1,5,2363952,559196,582664,4.2274,3317760,0,,4,581103.4666666668,prev_n4,results_all/eval/case_027_p1_n5.json,4.2,3.8
case_027,2,1,2363952,2363952,2363952,1.0,1400832,1400832,,16,2230623.9400988915,"('B', 0.1, 16, 8.0)",results_all/eval/case_027_p2_n1.json,1.6,1.0
case_027,2,2,2363952,1120962,1120962,2.1089,1744896,638976,,16,1123741.2715018238,"('B', 0.25, 64, 8.0)",results_all/eval/case_027_p2_n2.json,2.2,0.9
case_027,2,3,2363952,851585,851585,2.7759,13877248,2482176,,509,763213.4235638367,"('B', 0.1, 64, 8.0)",results_all/eval/case_027_p2_n3.json,2.4,1.7
case_027,2,4,2363952,652801,652801,3.6212,13049856,0,,590,560197.0666666668,"('B', 0.1, 64, 8.0)",results_all/eval/case_027_p2_n4.json,2.4,1.6
case_027,2,5,2363952,564530,564530,4.1875,17659904,0,,626,449082.39999999997,"('B', 0.1, 64, 2.0)",results_all/eval/case_027_p2_n5.json,4.1,2.0
case_027,3,1,2363952,2359515,2359515,1.0,1400832,1400832,0.2689393939393939,16,2230623.9400988915,"('C', 0.1, 64, 4.0)",results_all/eval/case_027_p3_n1.json,1.9,1.7
case_027,3,2,2363952,1120962,1120962,2.1089,1744896,638976,0.08904109589041095,16,1123536.1844060647,"('C', 0.25, 64, 2.0)",results_all/eval/case_027_p3_n2.json,2.7,1.4
case_027,3,3,2363952,851379,853173,2.7766,13877248,2482176,0.03638443935926773,509,763213.4235638367,p2_plan,results_all/eval/case_027_p3_n3.json,2.5,3.4
case_027,3,4,2363952,652557,652557,3.6226,14524416,0,0.15671641791044777,590,560197.0666666668,"('C', 0.1, 64, 4.0)",results_all/eval/case_027_p3_n4.json,2.8,1.6
case_027,3,5,2363952,537078,537078,4.4015,17940480,0,0.2917851500789889,622,448911.73333333334,"('C', 0.1, 64, 4.0)",results_all/eval/case_027_p3_n5.json,5.8,3.5
case_028,1,1,43836040,40857942,40857942,1.0,66193032,37083648,,16,39859606.63682853,"('A', 0.25, 16, 2.0, 16, 'mc')",results_all/eval/case_028_p1_n1.json,24.7,21.2
case_028,1,2,43836040,20591523,20591523,2.1288,74218704,40034304,,44,19991760.893684395,"('A', 0.25, 16, 2.0, 16, 'mc')",results_all/eval/case_028_p1_n2.json,24.0,27.6
case_028,1,3,43836040,14166948,14166948,3.0942,75241368,39859200,,48,13367723.412851563,"('A', 0.25, 16, 2.0, 16, 'mc')",results_all/eval/case_028_p1_n3.json,26.1,15.4
case_028,1,4,43836040,10171791,10171791,4.3096,59362296,12493824,,127,10030027.11085239,"('A', 0.25, 16, 2.0, 16, 'mc')",results_all/eval/case_028_p1_n4.json,28.9,26.2
case_028,1,5,43836040,8437435,8437435,5.1954,87727416,41273856,,130,8161879.749886721,"('A', 0.25, 16, 2.0, 16, 'mc')",results_all/eval/case_028_p1_n5.json,28.2,24.1
case_028,2,1,43836040,40553422,40553422,1.0,23221824,23221824,,41,39829138.56903612,"('B', 0.1, 16, 8.0, None, 'mc')",results_all/eval/case_028_p2_n1.json,22.7,38.3
case_028,2,2,43836040,20023861,20023861,2.1892,35899008,5818368,,4281,19918107.70257686,"('B', 0.1, 64, 2.0, None, 'mc')",results_all/eval/case_028_p2_n2.json,24.0,26.8
case_028,2,3,43836040,13409749,13409749,3.269,15680256,11358720,,130,13281504.924304742,"('B', 0.1, 64, 2.0, None, 'mc')",results_all/eval/case_028_p2_n3.json,22.9,21.4
case_028,2,4,43836040,9989473,9989473,4.3882,42985344,73728,,4406,9961163.831719011,"('B', 0.1, 64, 2.0, None, 'mc')",results_all/eval/case_028_p2_n4.json,24.5,24.4
case_028,2,5,43836040,8022129,8022129,5.4644,45049344,24576,,4519,7972335.562357472,"('B', 0.1, 64, 2.0, None, 'mc')",results_all/eval/case_028_p2_n5.json,24.5,26.4
case_028,3,1,43836040,40553422,40553422,1.0,23221824,23221824,0.030307939777579763,41,39829138.56903612,"('C', 0.1, 64, 4.0, None, 'mc')",results_all/eval/case_028_p3_n1.json,26.2,31.3
case_028,3,2,43836040,20010326,20010326,2.1907,35899008,5818368,0.085953112509992,4281,19918107.70257686,p2_plan,results_all/eval/case_028_p3_n2.json,26.2,29.4
case_028,3,3,43836040,13408972,13408972,3.2692,15101184,10767360,0.2598238018250075,146,13279985.14395673,"('C', 0.1, 64, 4.0, None, 'mc')",results_all/eval/case_028_p3_n3.json,27.2,19.8
case_028,3,4,43836040,9962193,9962193,4.4002,42985344,73728,0.2195807839260427,4406,9961163.831719011,p2_plan,results_all/eval/case_028_p3_n4.json,25.9,28.0
case_028,3,5,43836040,7979679,7979679,5.4935,44986368,0,0.28165144473379267,4518,7972283.2,"('C', 0.1, 64, 4.0, None, 'mc')",results_all/eval/case_028_p3_n5.json,25.9,25.7
case_029,1,1,37555,37555,37555,1.0,0,0,,1,37655.666666666664,"('A', 0.25, 16, 2.0)",results/single/case_029_single.json,1.5,0.0
case_029,1,2,37555,19740,19740,1.9025,0,0,,2,19805.666666666664,"('A', 0.25, 16, 2.0)",results_all/eval/case_029_p1_n2.json,1.5,0.7
case_029,1,3,37555,12743,12743,2.9471,0,0,,3,13075.4,"('A', 0.25, 16, 2.0)",results_all/eval/case_029_p1_n3.json,1.5,0.8
case_029,1,4,37555,11028,11028,3.4054,0,0,,4,10880.666666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_029_p1_n4.json,1.7,0.7
case_029,1,5,37555,9383,9383,4.0025,0,0,,5,9095.666666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_029_p1_n5.json,1.7,0.6
case_029,2,1,37555,37555,37555,1.0,0,0,,21,37655.666666666664,"('B', 0.1, 16, 8.0)",results_all/eval/case_029_p2_n1.json,1.3,0.5
case_029,2,2,37555,19740,19740,1.9025,0,0,,21,19805.666666666664,"('B', 0.1, 16, 8.0)",results_all/eval/case_029_p2_n2.json,1.1,0.6
case_029,2,3,37555,12743,12743,2.9471,0,0,,21,13075.4,"('B', 0.25, 64, 8.0)",results_all/eval/case_029_p2_n3.json,1.4,0.7
case_029,2,4,37555,11028,11028,3.4054,0,0,,21,10880.666666666666,"('B', 0.25, 64, 8.0)",results_all/eval/case_029_p2_n4.json,1.5,0.5
case_029,2,5,37555,9383,9383,4.0025,0,0,,21,9095.666666666666,"('B', 0.25, 64, 8.0)",results_all/eval/case_029_p2_n5.json,2.1,0.6
case_029,3,1,37555,37555,37555,1.0,0,0,0.0,21,37655.666666666664,"('C', 0.1, 64, 4.0)",results_all/eval/case_029_p3_n1.json,1.5,0.6
case_029,3,2,37555,19740,19740,1.9025,0,0,0.0,21,19805.666666666664,"('C', 0.1, 64, 4.0)",results_all/eval/case_029_p3_n2.json,1.7,0.7
case_029,3,3,37555,12743,12743,2.9471,0,0,0.0,21,13075.4,"('C', 0.25, 64, 2.0)",results_all/eval/case_029_p3_n3.json,1.8,1.0
case_029,3,4,37555,11028,11028,3.4054,0,0,0.0,21,10880.666666666666,"('C', 0.25, 64, 2.0)",results_all/eval/case_029_p3_n4.json,2.1,0.6
case_029,3,5,37555,9383,9383,4.0025,0,0,0.0,21,9095.666666666666,"('C', 0.25, 64, 2.0)",results_all/eval/case_029_p3_n5.json,2.1,0.7
case_030,1,1,2808034,2819264,2819264,1.0,4720640,2359296,,4,2780581.5758934678,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_030_p1_n1.json,20.3,28.1
case_030,1,2,2808034,1394075,1394075,2.0143,10951680,57344,,16,1395159.13671085,"('A', 0.1, 16, 2.0, 8)",results_all/eval/case_030_p1_n2.json,23.2,13.4
case_030,1,3,2808034,931940,931940,3.0131,9491456,330752,,12,934022.5627000645,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_030_p1_n3.json,16.3,21.7
case_030,1,4,2808034,701678,701678,4.0019,11815936,57344,,16,700787.6727611587,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_030_p1_n4.json,15.6,18.4
case_030,1,5,2808034,561875,561875,4.9976,13496320,0,,20,563171.7000000001,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_030_p1_n5.json,18.2,16.7
case_030,2,1,2808034,2815372,2815372,1.0,3399680,3399680,,44,2779281.8556813383,"('B', 0.1, 16, 8.0)",results_all/eval/case_030_p2_n1.json,14.4,10.7
case_030,2,2,2808034,1405595,1405595,1.9978,4145152,2372608,,88,1394835.6634057243,"('B', 0.1, 16, 8.0)",results_all/eval/case_030_p2_n2.json,12.3,8.3
case_030,2,3,2808034,938543,938543,2.9919,4818944,1594368,,135,934597.8449962602,"('B', 0.1, 16, 8.0)",results_all/eval/case_030_p2_n3.json,12.8,7.5
case_030,2,4,2808034,706974,706974,3.9719,5128192,757760,,213,702818.0778944101,"('B', 0.1, 16, 8.0)",results_all/eval/case_030_p2_n4.json,13.4,7.2
case_030,2,5,2808034,572505,572505,4.9048,5060608,250880,,246,563561.8743561853,"('B', 0.1, 16, 8.0)",results_all/eval/case_030_p2_n5.json,13.7,6.8
case_030,3,1,2808034,2814460,2814460,1.0,3399680,3399680,0.5783984444051617,44,2779281.8556813383,"('C', 0.1, 64, 4.0)",results_all/eval/case_030_p3_n1.json,14.1,10.5
case_030,3,2,2808034,1404599,1404599,1.9992,4145152,2372608,0.6283476898981989,88,1394835.6634057243,p2_plan,results_all/eval/case_030_p3_n2.json,14.1,8.5
case_030,3,3,2808034,937726,937726,2.9945,4818944,1594368,0.6517109186426239,135,934597.8449962602,p2_plan,results_all/eval/case_030_p3_n3.json,13.9,8.0
case_030,3,4,2808034,702545,702545,3.9969,7444480,1894400,0.7452898927865098,212,702756.4293021319,"('C', 0.25, 16, 8.0)",results_all/eval/case_030_p3_n4.json,14.2,7.6
case_030,3,5,2808034,572468,572468,4.9051,5060608,250880,0.6429454595411458,246,563561.8743561853,p2_plan,results_all/eval/case_030_p3_n5.json,14.9,7.2
case_031,1,1,1414369,1412081,1412081,1.0,4715520,930816,,4,1396559.30960512,"('A', 0.1, 16, 2.0, 4, 'mc')",results_all/eval/case_031_p1_n1.json,9.3,9.7
case_031,1,2,1414369,705542,705542,2.0047,8894976,0,,15,707486.0000000001,"('A', inf, 16, 0.0, 8)",results_all/eval/case_031_p1_n2.json,8.9,7.5
case_031,1,3,1414369,475820,475820,2.9725,10626048,0,,21,476022.30000000075,"('A', inf, 16, 0.0, 8)",results_all/eval/case_031_p1_n3.json,9.3,7.1
case_031,1,4,1414369,360996,360996,3.918,12112896,0,,28,360852.333333334,"('A', inf, 16, 0.0, 8)",results_all/eval/case_031_p1_n4.json,10.1,7.4
case_031,1,5,1414369,293444,293444,4.8199,12086784,0,,30,292196.1333333336,"('A', inf, 16, 0.0, 8)",results_all/eval/case_031_p1_n5.json,11.3,8.9
case_031,2,1,1414369,1414060,1414060,1.0,3222528,3222528,,42,1397468.643089025,"('B', 0.1, 16, 8.0, None, 'mc')",results_all/eval/case_031_p2_n1.json,7.9,4.9
case_031,2,2,1414369,706178,706178,2.0029,5015590,3035616,,445,710044.9312213572,"('B', 0.1, 16, 8.0)",results_all/eval/case_031_p2_n2.json,8.0,5.2
case_031,2,3,1414369,479136,479136,2.9519,5064044,1873088,,551,483080.3812652895,"('B', 0.1, 16, 8.0, None, 'blc')",results_all/eval/case_031_p2_n3.json,8.4,4.9
case_031,2,4,1414369,365128,365128,3.8736,5618834,1856032,,605,375417.4049036158,"('B', 0.1, 16, 8.0)",results_all/eval/case_031_p2_n4.json,9.4,5.0
case_031,2,5,1414369,289338,289338,4.8883,6183936,1370112,,89,302637.8654895482,"('B', 1.0, 16, 4.0)",results_all/eval/case_031_p2_n5.json,10.0,4.2
case_031,3,1,1414369,1413055,1413055,1.0,3222528,3222528,0.20736227814448044,42,1397468.643089025,"('C', 0.1, 64, 4.0, None, 'mc')",results_all/eval/case_031_p3_n1.json,9.5,5.8
case_031,3,2,1414369,704824,704824,2.0067,5294982,3213888,0.4268183267686518,454,708757.6839712479,"('C', 0.25, 16, 8.0, None, 'mc')",results_all/eval/case_031_p3_n2.json,9.8,5.3
case_031,3,3,1414369,478492,478492,2.9559,5064044,1873088,0.36726730036381156,551,483080.3812652895,p2_plan,results_all/eval/case_031_p3_n3.json,8.8,5.0
case_031,3,4,1414369,361357,361357,3.914,6840850,1980000,0.43409634141749964,608,368094.9715184478,"('C', 0.25, 16, 8.0)",results_all/eval/case_031_p3_n4.json,10.7,5.7
case_031,3,5,1414369,289158,296012,4.8913,6183936,1370112,0.4349893819344237,89,302637.8654895482,p2_plan,results_all/eval/case_031_p3_n5.json,10.1,8.8
case_032,1,1,41443,41443,41443,1.0,0,0,,1,34512.299999999996,"('A', 0.1, 64, 1.0)",results/single/case_032_single.json,1.5,0.0
case_032,1,2,41443,24256,24256,1.7086,6216,0,,2,18016.3,"('A', 1.0, 16, 2.0)",results_all/eval/case_032_p1_n2.json,1.5,0.8
case_032,1,3,41443,16534,16534,2.5065,6216,0,,3,12574.966666666667,"('A', 1.0, 16, 0.0)",results_all/eval/case_032_p1_n3.json,1.6,0.7
case_032,1,4,41443,12281,12281,3.3746,6216,0,,4,10041.3,"('A', 1.0, 16, 2.0)",results_all/eval/case_032_p1_n4.json,1.5,0.6
case_032,1,5,41443,10623,10623,3.9013,174208,0,,13,9051.733333333334,"('A', 1.0, 16, 2.0)",results_all/eval/case_032_p1_n5.json,2.1,0.6
case_032,2,1,41443,34660,34660,1.0,0,0,,34,34512.299999999996,"('B', 0.1, 16, 8.0)",results_all/eval/case_032_p2_n1.json,1.2,0.6
case_032,2,2,41443,18401,18401,2.2522,6216,0,,25,18016.3,"('B', 1.0, 64, 0.0)",results_all/eval/case_032_p2_n2.json,1.9,0.6
case_032,2,3,41443,12591,12591,3.2915,6216,0,,25,12574.966666666667,"('B', 1.0, 64, 0.0)",results_all/eval/case_032_p2_n3.json,1.6,0.5
case_032,2,4,41443,10250,10250,4.0432,6216,0,,25,10041.3,"('B', 1.0, 64, 0.0)",results_all/eval/case_032_p2_n4.json,1.3,0.4
case_032,2,5,41443,9592,9592,4.3206,161976,0,,76,9116.499999999998,"('B', 1.0, 64, 0.0)",results_all/eval/case_032_p2_n5.json,1.9,0.5
case_032,3,1,41443,34660,35350,1.0,0,0,0.0,34,34512.299999999996,p2_plan,results_all/eval/case_032_p3_n1.json,1.2,1.2
case_032,3,2,41443,18401,18401,2.2522,6216,0,0.0217820949497498,25,18016.3,"('C', 1.0, 64, 0.0)",results_all/eval/case_032_p3_n2.json,1.8,0.7
case_032,3,3,41443,12591,12591,3.2915,6216,0,0.0217820949497498,25,12574.966666666667,"('C', 1.0, 64, 0.0)",results_all/eval/case_032_p3_n3.json,1.9,0.6
case_032,3,4,41443,10250,10250,4.0432,6216,0,0.0217820949497498,25,10041.3,"('C', 1.0, 64, 0.0)",results_all/eval/case_032_p3_n4.json,2.0,0.7
case_032,3,5,41443,9592,10130,4.3206,161976,0,0.18118276854704307,76,9116.499999999998,p2_plan,results_all/eval/case_032_p3_n5.json,1.9,1.1
case_033,1,1,1774196,1774196,1774196,1.0,4592640,4592640,,1,1739467.8460539044,single,results/single/case_033_single.json,4.9,0.0
case_033,1,2,1774196,885417,885417,2.0038,8602656,0,,10,885445.266666667,"('A', 0.1, 16, 2.0, 4, 'mc')",results_all/eval/case_033_p1_n2.json,5.0,4.2
case_033,1,3,1774196,597906,597906,2.9673,9804864,0,,15,595480.3333333333,"('A', 0.1, 16, 2.0, 4, 'mc')",results_all/eval/case_033_p1_n3.json,5.6,3.8
case_033,1,4,1774196,449503,449503,3.947,10401888,0,,19,451137.1000000005,"('A', 0.1, 16, 2.0, 4, 'mc')",results_all/eval/case_033_p1_n4.json,5.5,4.1
case_033,1,5,1774196,366535,366535,4.8405,13961856,0,,25,364435.50000000006,"('A', 0.1, 16, 2.0, 4, 'mc')",results_all/eval/case_033_p1_n5.json,6.0,7.0
case_033,2,1,1774196,1774196,1774196,1.0,4592640,4592640,,1,1739467.8460539044,single,results_all/eval/case_033_p2_n1.json,4.7,2.1
case_033,2,2,1774196,889544,889544,1.9945,6334496,3757056,,135,892961.1388854786,"('B', 0.1, 16, 8.0, None, 'mc')",results_all/eval/case_033_p2_n2.json,4.5,2.7
case_033,2,3,1774196,589984,589984,3.0072,5954624,2304000,,168,599482.2915799103,"('B', 0.1, 16, 8.0, None, 'mc')",results_all/eval/case_033_p2_n3.json,4.7,2.8
